"gene","coef","direction","symbol_current"
"STK11",-0.816557952808969,"down_in_loss","STK11"
"SLC16A14",0.362550568114728,"up_in_loss","SLC16A14"
"SLC6A20",-0.289599620847861,"down_in_loss","SLC6A20"
"INHA",0.225702064878915,"up_in_loss","INHA"
"TNFSF10",-0.2117971501793,"down_in_loss","TNFSF10"
"S100P",0.210395978658017,"up_in_loss","S100P"
"SLC7A2",0.170564474473605,"up_in_loss","SLC7A2"
"PDE4D",0.169395016053264,"up_in_loss","PDE4D"
"CARD14",0.164724939841233,"up_in_loss","CARD14"
"ZNF430",-0.133060797655309,"down_in_loss","ZNF430"
"CGA",0.125770364514912,"up_in_loss","CGA"
"HMGB3",0.125339981765564,"up_in_loss","HMGB3"
"ZNF563",-0.112130373767281,"down_in_loss","ZNF563"
"SIK1",0.107580455585398,"up_in_loss","SIK1"
"PHF17",0.103864685864048,"up_in_loss","JADE1"
"FXYD4",0.0931088773463991,"up_in_loss","FXYD4"
"TRAF2",0.0901270216716076,"up_in_loss","TRAF2"
"PPP1R3B",0.0696931967798433,"up_in_loss","PPP1R3B"
"COL25A1",0.0665128277322014,"up_in_loss","COL25A1"
"C6orf176",0.0645476594489598,"up_in_loss","LINC00473"
"C21orf125",0.0584720213814924,"up_in_loss","LINC00319"
"RPH3AL",0.0551652328202565,"up_in_loss","RPH3AL"
"INSL4",0.0540803477906129,"up_in_loss","INSL4"
"BARX1",0.0478086668567485,"up_in_loss","BARX1"
"MTMR7",0.0467601547991152,"up_in_loss","MTMR7"
"GPR110",-0.0338045495931789,"down_in_loss","ADGRF1"
"C2CD4D",0.03183458298476,"up_in_loss","C2CD4D"
"ITGB8",-0.0231109406858928,"down_in_loss","ITGB8"
"KIT",0.0182906448992918,"up_in_loss","KIT"
"MOSC1",0.00529804828700575,"up_in_loss","MTARC1"
